,,,,,Road,,,,Tower,,TimeZone,,,,,,,,CCTV,
3-Ward-Place,79.877032-6.915083-210,10:00:00#10:30:00,441,,0,1,1,,0,,0,1,0,0,0,,0.105778894,,2,
3-Ward-Place,79.877032-6.915083-210,10:30:00#11:00:00,598,,0,1,1,,0,,0,1,0,0,1,,0.145226131,,2,
3-Ward-Place,79.877032-6.915083-210,11:00:00#11:30:00,539,,0,1,1,,0,,0,1,0,1,0,,0.13040201,,2,
3-Ward-Place,79.877032-6.915083-210,11:30:00#12:00:00,486,,0,1,1,,0,,0,1,0,1,1,,0.117085427,,2,
3-Ward-Place,79.877032-6.915083-210,12:00:00#12:30:00,659,,0,1,1,,0,,0,1,1,0,0,,0.160552764,,2,
3-Ward-Place,79.877032-6.915083-210,12:30:00#13:00:00,590,,0,1,1,,0,,0,1,1,0,1,,0.14321608,,2,
3-Ward-Place,79.877032-6.915083-210,13:00:00#13:30:00,722,,0,1,1,,0,,0,1,1,1,0,,0.17638191,,2,
3-Ward-Place,79.877032-6.915083-210,13:30:00#14:00:00,509,,0,1,1,,0,,0,1,1,1,1,,0.122864322,,2,
3-Ward-Place,79.877032-6.915083-210,14:00:00#14:30:00,535,,0,1,1,,0,,1,0,0,0,0,,0.129396985,,3,
3-Ward-Place,79.877032-6.915083-210,14:30:00#15:00:00,438,,0,1,1,,0,,1,0,0,0,1,,0.105025126,,2,
3-Ward-Place,79.877032-6.915083-210,15:00:00#15:30:00,368,,0,1,1,,0,,1,0,0,1,0,,0.087437186,,2,
3-Ward-Place,79.877032-6.915083-210,15:30:00#16:00:00,283,,0,1,1,,0,,1,0,0,1,1,,0.066080402,,2,
1-Danister-De-Silva,79.8775-6.91679-85,06:00:00#06:30:00,42,,1,0,0,,0,,0,0,0,0,0,,0.005527638,,1,
1-Danister-De-Silva,79.8775-6.91679-85,06:30:00#07:00:00,103,,1,0,0,,0,,0,0,0,0,1,,0.020854271,,2,
1-Danister-De-Silva,79.8775-6.91679-85,07:00:00#07:30:00,157,,1,0,0,,0,,0,0,0,1,0,,0.034422111,,2,
1-Danister-De-Silva,79.8775-6.91679-85,07:30:00#08:00:00,204,,1,0,0,,0,,0,0,0,1,1,,0.046231156,,3,
1-Danister-De-Silva,79.8775-6.91679-85,08:00:00#08:30:00,234,,1,0,0,,0,,0,0,1,0,0,,0.053768844,,3,
1-Danister-De-Silva,79.8775-6.91679-85,08:30:00#09:00:00,404,,1,0,0,,0,,0,0,1,0,1,,0.096482412,,2,
1-Danister-De-Silva,79.8775-6.91679-85,09:00:00#09:30:00,358,,1,0,0,,0,,0,0,1,1,0,,0.084924623,,3,
1-Danister-De-Silva,79.8775-6.91679-85,09:30:00#10:00:00,317,,1,0,0,,0,,0,0,1,1,1,,0.074623116,,2,
1-Danister-De-Silva,79.8775-6.91679-85,10:00:00#10:30:00,347,,1,0,0,,0,,0,1,0,0,0,,0.082160804,,2,
1-Danister-De-Silva,79.8775-6.91679-85,10:30:00#11:00:00,303,,1,0,0,,0,,0,1,0,0,1,,0.071105528,,2,
1-Danister-De-Silva,79.8775-6.91679-85,11:00:00#11:30:00,262,,1,0,0,,0,,0,1,0,1,0,,0.06080402,,2,
1-Danister-De-Silva,79.8775-6.91679-85,11:30:00#12:00:00,357,,1,0,0,,0,,0,1,0,1,1,,0.084673367,,2,
1-Danister-De-Silva,79.8775-6.91679-85,12:00:00#12:30:00,357,,1,0,0,,0,,0,1,1,0,0,,0.084673367,,2,
1-Danister-De-Silva,79.8775-6.91679-85,12:30:00#13:00:00,303,,1,0,0,,0,,0,1,1,0,1,,0.071105528,,2,
1-Danister-De-Silva,79.8775-6.91679-85,13:00:00#13:30:00,341,,1,0,0,,0,,0,1,1,1,0,,0.080653266,,2,
1-Danister-De-Silva,79.8775-6.91679-85,13:30:00#14:00:00,305,,1,0,0,,0,,0,1,1,1,1,,0.07160804,,2,
1-Danister-De-Silva,79.8775-6.91679-85,14:00:00#14:30:00,226,,1,0,0,,0,,1,0,0,0,0,,0.051758794,,3,
1-Danister-De-Silva,79.8775-6.91679-85,14:30:00#15:00:00,205,,1,0,0,,0,,1,0,0,0,1,,0.046482412,,3,
1-Danister-De-Silva,79.8775-6.91679-85,15:00:00#15:30:00,154,,1,0,0,,0,,1,0,0,1,0,,0.033668342,,2,
1-Danister-De-Silva,79.8775-6.91679-85,15:30:00#16:00:00,125,,1,0,0,,0,,1,0,0,1,1,,0.02638191,,2,
